label,cleaned_text
Psoriasis,experience skin rash arm leg torso past week red itchy cover dry scaly patch
Psoriasis,skin peel especially knee elbow scalp peeling accompany burning sting sensation
Psoriasis,experience joint pain finger wrist knee pain achy throbbing bad joint
Psoriasis,silver like dusting skin especially low scalp dusting small scale flake easily scratch
Psoriasis,nail small dent pit feel inflammatory tender touch minor rash arm
Psoriasis,skin palm sol thickened deep crack crack painful bleed easily
Psoriasis,skin mouth nose eye red inflame itchy uncomfortable noticeable inflammation nail
Psoriasis,skin sensitive react easily change temperature humidity careful product use skin
Psoriasis,notice sudden peeling skin different body mainly arm leg face severe joint pain skin rash
Psoriasis,skin genital red inflame itchy burning uncomfortable rash different body
Psoriasis,experience fatigue general feeling malaise feel tired lack energy good night sleep
Psoriasis,rash skin spread body include chest abdoman itchy uncomfortable bad night face skin peeling
Psoriasis,rash skin bad winter month air dry find moisturize frequently use humidifier skin hydrated
Psoriasis,experienced difficulty sleep itching discomfort cause rash small dent nail concern
Psoriasis,skin prone infection dry flaky patch experience strong pain joint skin knee elbow start peel
Psoriasis,start rash skin rash bleed scratch rub notice small dent nail
Psoriasis,notice skin sensitive silver like dusting skin especially elbow
Psoriasis,worried constant peeling skin palm elbow knee develop rash arm itch touch life discomforting miserable
Psoriasis,strange pain joint notice strange peeling skin different body afraid wrong body
Psoriasis,nail small dent joint start pain severely silver like dusting skin particularly
Psoriasis,rash skin heal notice sudden peeling skin especially skin elbow knee worried
Psoriasis,past week skin rash arm leg chest red irritate dry scaly spot strange pain joint
Psoriasis,skin peel particularly knee elbow scalp peeling frequently accompany stinging burn feeling
Psoriasis,joint discomfort finger wrist knee pain frequently aching throbbing worsen joint
Psoriasis,skin silvery film particularly arm scalp dusting compose tiny scale easily peel scratch
Psoriasis,red inflammatory skin mouth nose eye frequently irritating unpleasant recently painful
Psoriasis,skin extremely sensitive quickly irritated change temperature humidity nail develop dent worried sudden change
Psoriasis,sudden peeling skin region body arm leg addition significant joint pain skin rash rash spread different body
Psoriasis,genital skin red irritated frequently irritating burning unpleasant rash place body strange pain joint
